tt_no,BeginUTC,EndUTC,ts_idx,ts_name,ts_type,temp_config,temp_config_source,TmaxValue,TminValue,TaveValue,MKTValue,TimeOverTmax,TimeOverTmaxC,TimeUnderTmin,TimeUnderTminC,pct_exposure_1,pct_exposure_2,pct_exposure_3,Info,LogInt,TagId,SessionId,viewable,last_read_loc,last_read_loc_name,origin_loc,origin_loc_name,EventType,EventUTC,has_alarm,start_trim_type,stop_trim_type,DataPoints,BatteryLevel,LastSLValue,sharing_override,co_idx,last_c_idx,plan_details,TmaxSetting,TminSetting,TstdSetting,TimeOverTmaxSetting,TimeOverTmaxSettingCont,TimeUnderTminSetting,TimeUnderTminSettingCont,Ea,InitSL,TmaxOvershoot,TminUndershoot,temptrip_no_1,temptrip_no_0,internal_route_id_0,batch_no_0,customer_no_0,customer_name_0,loader_name_0,driver_name_0,delivery_date_0,user_id_0,cumulative_exposure_pct_0,po_no_1,buyer_1,spclst_1,vendor_no_1,vendor_name_1,subvend_1,subvend_name_1,us_dot_1,carrier_name_1,driver_1,plan_no_1,plan_desc_1,rcv_temp_1,receiver_1,cumulative_exposure_pct_1,timestamp_0,timestamp_1,trailer_no_1,trailer_no_0,invoice_no_0,category_81_99,category_82_99,category_83_99,category_84_99,category_155_99,managed_by_1,category_164_99,category_165_99,category_166_99,category_167_99,category_168_99,category_176_99
8241-1-5-2,3/28/16 05:42,3/28/16 18:42,1587,C-Frozen - Outbound,PLANS,1760,1587,-1280,-2670,-2374,-2374,0,0,46800,0,-9999,0,-9999,,900,84025,-764940605,1,2230,#1384 - Liberty,1595,Hy-Vee Chariton,3,3/28/16 18:50,0,tag,tag,52,300,0,0,1321,0,1~-1~-4900~-944~1|6~60~1001~5100~6|5~60~445~1000~5|4~300~1~444~4|3~420~-388~0~3|2~480~-943~-389~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2386,,,,,,,,
8294-1-28-3,3/28/16 13:39,3/28/16 18:39,2261,Standard Retail,CONFIGS,2261,0,3450,2920,3148,3148,0,0,0,0,-9999,-9999,-9999,,900,70705,-764075040,1,1115,PDI- Ankeny,2226,#1036 - Bethany,4,3/28/16 18:46,0,tag,tag,20,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
9072-1-9-0,3/24/16 18:20,3/28/16 18:35,32,C-Produce - Cold Fresh,PLANS,2269,32,880,50,185,185,346500,0,0,0,250,0,-9999,848874,900,44695,-753972497,1,1595,Hy-Vee Chariton,2733,Gourmet Mushrooms Inc,4,3/28/16 18:42,0,tag,tag,385,300,0,0,1321,0,5~-1~-60~556~5|6~300~557~1278~6|4~180~-110~-61~4|3~120~-221~-111~3|2~60~-666~-222~2|1~45~-4900~-667~1|8~120~1557~5100~8|7~240~1279~1556~7,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8251-1-6-12,3/28/16 13:31,3/28/16 18:31,30,C-Frozen - General,PLANS,1495,30,-1080,-1650,-1457,-1457,0,0,18000,0,0,0,-9999,849403,900,83661,-764855722,1,1595,Hy-Vee Chariton,2261,"D&D Foods, Inc.",4,3/28/16 18:38,0,tag,tag,20,300,0,0,1321,0,1~-1~-4900~-56~1|3~240~57~444~3|2~300~-55~56~2|6~90~1557~5100~6|5~120~1001~1556~5|4~180~445~1000~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7761-1-43-7,3/28/16 17:26,3/28/16 18:26,43,P-Outbound Plan,PLANS,1293,43,139,-200,-17,-17,1800,0,1800,0,0,-9999,-9999,14498786,900,71426,-771595068,1,1881,#1888 - WDM 2,2364,#1387 - Lincoln 3,3,3/28/16 18:49,0,tag,sys,5,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,71426,371316,14498786,1888,HY-VEE #2 - WEST DES MOINES,"Benson, Jon W.","GROGAN, MICHAEL",3/29/16,BENSJW,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,9487,0,,,,,,,,,,,,
8618-1-26-0,3/28/16 03:48,3/28/16 18:18,30,C-Frozen - General,PLANS,1206,30,-869,-1789,-1655,-1655,0,0,52200,0,0,0,-9999,395307,900,93391,-758639762,1,1595,Hy-Vee Chariton,1239,Americold - Rochelle,4,3/28/16 18:25,0,tag,tag,58,300,0,0,1321,0,1~-1~-4900~-56~1|3~240~57~444~3|2~300~-55~56~2|6~90~1557~5100~6|5~120~1001~1556~5|4~180~445~1000~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
7658-1-5-0,3/25/16 13:35,3/28/16 18:05,1218,Standard Retail,CONFIGS,1218,0,229,209,221,221,0,0,0,0,-9999,-9999,-9999,,900,62455,-773332524,1,1115,PDI- Ankeny,1253,Sargento Foods,4,3/28/16 18:12,0,tag,tag,306,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8394-1-4-1,3/28/16 17:27,3/28/16 18:05,43,P-Outbound Plan,PLANS,1229,43,279,160,213,213,0,0,0,0,0,-9999,-9999,14499546,900,63690,-761827169,1,1851,#1138 - DM 2,1115,PDI- Ankeny,3,3/28/16 18:27,0,sys,sys,4,300,-2700,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,63690,371290,14499546,1138,HY-VEE #2 - DES MOINES,"Benson, Jon W.","BEAN, MATT",3/29/16,BENSJW,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,15598,0,,,,,,,,,,,,
7820-1-6-0,3/23/16 16:29,3/28/16 17:59,30,C-Frozen - General,PLANS,1938,30,-270,-1960,-1666,-1666,0,0,437400,0,0,0,-9999,393942,900,74499,-770819375,1,1595,Hy-Vee Chariton,2309,Northeast Refrigerated Distributing Co. Inc.,4,3/28/16 18:07,0,tag,tag,486,300,0,0,1321,0,1~-1~-4900~-56~1|3~240~57~444~3|2~300~-55~56~2|6~90~1557~5100~6|5~120~1001~1556~5|4~180~445~1000~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8635-1-30-12,3/28/16 13:54,3/28/16 17:54,1202,Standard Retail,CONFIGS,1202,0,2910,2370,2608,2608,0,0,0,0,-9999,-9999,-9999,,900,91771,-758723774,1,1115,PDI- Ankeny,2002,#7060 - Muscatine MS,4,3/28/16 18:02,0,tag,tag,16,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
