tt_no,BeginUTC,EndUTC,ts_idx,ts_name,ts_type,temp_config,temp_config_source,TmaxValue,TminValue,TaveValue,MKTValue,TimeOverTmax,TimeOverTmaxC,TimeUnderTmin,TimeUnderTminC,pct_exposure_1,pct_exposure_2,pct_exposure_3,Info,LogInt,TagId,SessionId,viewable,last_read_loc,last_read_loc_name,origin_loc,origin_loc_name,EventType,EventUTC,has_alarm,start_trim_type,stop_trim_type,DataPoints,BatteryLevel,LastSLValue,sharing_override,co_idx,last_c_idx,plan_details,TmaxSetting,TminSetting,TstdSetting,TimeOverTmaxSetting,TimeOverTmaxSettingCont,TimeUnderTminSetting,TimeUnderTminSettingCont,Ea,InitSL,TmaxOvershoot,TminUndershoot,temptrip_no_1,temptrip_no_0,internal_route_id_0,batch_no_0,customer_no_0,customer_name_0,loader_name_0,driver_name_0,delivery_date_0,user_id_0,cumulative_exposure_pct_0,po_no_1,buyer_1,spclst_1,vendor_no_1,vendor_name_1,subvend_1,subvend_name_1,us_dot_1,carrier_name_1,driver_1,plan_no_1,plan_desc_1,rcv_temp_1,receiver_1,cumulative_exposure_pct_1,timestamp_0,timestamp_1,trailer_no_1,trailer_no_0,invoice_no_0,category_81_99,category_82_99,category_83_99,category_84_99,category_155_99,managed_by_1,category_164_99,category_165_99,category_166_99,category_167_99,category_168_99,category_176_99
8588-1-30-0,3/25/16 01:30,3/28/16 14:45,1298,Standard Retail ,CONFIGS,1298,0,430,-20,292,292,0,0,0,0,-9999,-9999,-9999,478628-72508,900,90089,-759243977,1,1115,PDI- Ankeny,1394,Dean Foods,4,3/28/16 14:53,0,tag,tag,341,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,90089,,,,,,,,,,NULL,478592,2,62,5802,DEAN FOODS,MLK,DEAN FOODS - TRU MOO,265725,PERISHABLE DISTRIBUTORS OF IA,,111111,FRESHSTAND,...,KELLJT,...,NULL,...,,,,,,,,,PDI,,,,,,
8170-1-84-19,3/28/16 14:13,3/28/16 14:43,1975,F-Cold Cut Flowers,PLANS,1909,1975,1380,1160,1270,1270,1800,0,0,0,0,125,-9999,,900,49755,-765983548,1,2376,FDI 500 - Independence,2376,FDI 500 - Independence,3,3/28/16 17:36,0,tag,sys,13,300,0,0,1321,0,3~-1~1~722~3|2~60~-666~0~2|1~45~-4900~-667~1|7~45~2668~5100~7|6~60~2112~2667~6|5~240~1112~2111~5|4~600~723~1111~4,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,592,5710,598,,,
8432-1-57-0,3/26/16 14:58,3/28/16 14:43,1188,Standard Retail,CONFIGS,1188,0,179,-329,-247,-247,0,0,0,0,-9999,-9999,-9999,480341-10123,900,63672,-761306609,1,1115,PDI- Ankeny,1217,Hormel Food-NE,4,3/28/16 14:51,0,tag,tag,191,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,63672,,,,,,,,,,NULL,480341,4,61,2181,"TOPCO ASSOCIATES, INC.",BNL,TOPCO - BNLS LOINS,205228,SCHULZ TRANSPORTATION SERVICE,BRADLEY MARSHALL,100005,PORK FRESH,...,JONEMR,...,NULL,...,5155T,,,,,,,,VEN,,,,,,
8899-1-73-3,3/28/16 11:11,3/28/16 14:41,43,P-Outbound Plan,PLANS,1233,43,719,400,478,478,12600,0,0,0,115,-9999,-9999,14498613,900,100603,-755868710,1,1115,PDI- Ankeny,1904,#1650 - Tarkio,4,3/28/16 16:33,0,tag,sys,21,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,100603,371187,14498613,1003,HY-VEE CAFETERIA - WEST DES MOINES,"Hartgers, Jon G.","PETERSON, DOUG",3/28/16,HARTJG,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,11506,0,,,,,,,,,,,,
8803-1-2-0,3/25/16 21:37,3/28/16 14:37,1962,Standard Retail ,CONFIGS,1962,0,400,60,221,221,0,0,0,0,-9999,-9999,-9999,479398-72021,900,97566,-757081593,1,1115,PDI- Ankeny,2346,Lactalis USA,4,3/28/16 14:44,0,tag,tag,260,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,97566,,,,,,,,,,NULL,479189,48,55,6695,LACTALIS USA,,,1316659,MIDWEST REFRIGERATED SERVICES,ANDREW SCHLITT,100014,CULTRDAIRY,...,WILSWC,...,NULL,...,3235,,,,,,,,VEN,,,,,,
8148-1-12-12,3/28/16 04:32,3/28/16 14:32,1586,C-Produce - Outbound,PLANS,1479,1586,580,409,504,504,36000,0,0,0,0,0,-9999,,900,51054,-766499477,1,1901,#1473 - Osceola,2291,#1624 - Sioux Falls 1,3,3/28/16 14:40,0,tag,tag,40,300,0,0,1321,0,4~-1~107~1278~4|5~960~1279~1556~5|3~180~1~106~3|2~120~-666~0~2|1~60~-4900~-667~1|8~60~2668~5100~8|7~90~1834~2667~7|6~600~1557~1833~6,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2343,,,,,,,,
8432-1-68-0,3/25/16 21:32,3/28/16 14:32,1188,Standard Retail,CONFIGS,1188,0,440,-110,-64,-64,0,0,0,0,-9999,-9999,-9999,479784-10123,900,77485,-761306444,1,1115,PDI- Ankeny,1217,Hormel Food-NE,4,3/28/16 14:39,0,tag,tag,260,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,77485,,,,,,,,,,NULL,479784,4,61,2181,"TOPCO ASSOCIATES, INC.",BNL,TOPCO - BNLS LOINS,933819,COMMERCIAL SERVICES,KENT CARRICK,100005,PORK FRESH,...,KELLJT,...,NULL,...,335,,,,,,,,VEN,,,,,,
8614-1-88-7,3/28/16 03:27,3/28/16 14:27,1587,C-Frozen - Outbound,PLANS,1825,1587,-1150,-2310,-2072,-2072,0,0,39600,0,-9999,0,-9999,,900,90853,-758896249,1,1850,#1136 - DM 1,2294,#1633 - Sioux Falls 4,3,3/28/16 14:34,0,tag,tag,44,300,0,0,1321,0,1~-1~-4900~-944~1|6~60~1001~5100~6|5~60~445~1000~5|4~300~1~444~4|3~420~-388~0~3|2~480~-943~-389~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2325,,,,,,,,
8899-1-6-0,3/27/16 00:09,3/28/16 14:24,1233,Standard Retail,CONFIGS,1233,0,440,-10,46,46,0,0,0,0,-9999,-9999,-9999,,900,100571,-755869920,1,1115,PDI- Ankeny,1337,Tyson Fresh Meats - Dakota City,4,3/28/16 14:31,0,tag,tag,153,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8337-1-26-0,3/26/16 18:05,3/28/16 14:20,2180,Standard Retail,CONFIGS,2180,0,740,120,269,269,0,0,0,0,-9999,-9999,-9999,479767-74984,900,85830,-763033812,1,1115,PDI- Ankeny,2762,US Cold Storage-Arlington,4,3/28/16 14:27,0,tag,tag,177,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,85830,,,,,,,,,,NULL,479767,2,62,2922,WHITEWAVE FOODS,DAL,WHITEWAVE - DALLAS MIX CENTER,53824,DECKER TRUCK LINE INC,RICHARD CHAMBERS,100014,CULTRDAIRY,...,WOLFBC,...,NULL,...,833929,,,,,,,,VEN,,,,,,
9149-1-37-0,3/26/16 20:03,3/28/16 14:18,27,C-Produce - Warm Fresh,PLANS,2465,27,1589,440,697,697,152100,0,0,0,100,0,-9999,,900,86475,-753272958,1,1595,Hy-Vee Chariton,3013,Lineage Refrigerated Services,3,3/28/16 14:26,0,tag,tag,169,300,0,0,1321,0,3~-1~162~1278~3|4~300~1279~2389~4|2~180~-110~161~2|1~90~-4900~-111~1|6~120~2945~5100~6|5~240~2390~2944~5,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,848762,,,,,,,,,,
7431-1-12-8,3/28/16 05:03,3/28/16 14:18,1587,C-Frozen - Outbound,PLANS,1966,1587,-830,-2629,-2050,-2050,0,0,33300,0,-9999,31,-9999,,900,65434,-776953552,1,1839,#1061 - Cedar Rapids 5,2282,#1461 - Norfolk 2,3,3/28/16 14:25,0,tag,tag,37,300,0,0,1321,0,1~-1~-4900~-944~1|6~60~1001~5100~6|5~60~445~1000~5|4~300~1~444~4|3~420~-388~0~3|2~480~-943~-389~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2287,,,,,,,,
8461-1-26-1,3/28/16 11:15,3/28/16 14:15,43,P-Outbound Plan,PLANS,1249,43,530,69,211,211,10800,0,0,0,10,-9999,-9999,14498615,900,74235,-760193001,1,1884,#7082 - WDM DS,1115,PDI- Ankeny,3,3/28/16 14:23,0,tag,tag,12,300,0,0,1321,0,1~-1~-4900~444~1|6~30~2662~5100~6|5~60~2107~2661~5|4~150~995~2106~4|3~720~551~994~3|2~1440~445~550~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,74235,371187,14498615,7082,HV DRUGSTORE - WEST DES MOINES,"Hartgers, Jon G.","PETERSON, DOUG",3/28/16,HARTJG,...,,,,,,,,,,,,,NULL,,NULL,...,NULL,,11506,0,,,,,,,,,,,,
8837-1-9-1,3/27/16 16:59,3/28/16 14:14,1586,C-Produce - Outbound,PLANS,1574,1586,-850,-2689,-2383,-2383,0,0,76500,0,21250,0,-9999,,900,98806,-756559869,1,2084,#1640 - Springfield,1595,Hy-Vee Chariton,3,3/28/16 14:22,1,tag,tag,85,300,0,0,1321,0,4~-1~107~1278~4|5~960~1279~1556~5|3~180~1~106~3|2~120~-666~0~2|1~60~-4900~-667~1|8~60~2668~5100~8|7~90~1834~2667~7|6~600~1557~1833~6,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2269,,,,,,,,
5367-1-36-32,3/28/16 12:44,3/28/16 14:14,1979,F-Outbound,PLANS,1686,1979,1720,1010,1246,1246,5400,0,0,0,0,62,-9999,,900,7105,-804947216,1,2367,FDI 100 - Des Moines,2367,FDI 100 - Des Moines,3,3/28/16 17:51,0,tag,sys,20,300,0,0,1321,0,4~-1~445~1556~4|3~600~1~444~3|2~120~-666~0~2|1~45~-4900~-667~1|6~120~2390~5100~6|5~240~1557~2389~5,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9700,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,368,703,398,,,
8054-1-19-3,3/28/16 04:13,3/28/16 14:13,1587,C-Frozen - Outbound,PLANS,2006,1587,-700,-2570,-2054,-2054,0,0,36000,0,-9999,31,-9999,,900,73726,-767444275,1,2272,#1089 - Corydon,1882,#1889 - WDM 3,3,3/28/16 14:20,0,tag,tag,40,300,0,0,1321,0,1~-1~-4900~-944~1|6~60~1001~5100~6|5~60~445~1000~5|4~300~1~444~4|3~420~-388~0~3|2~480~-943~-389~2,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-9600,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,2341,,,,,,,,
9006-1-25-0,3/26/16 14:42,3/28/16 14:12,32,C-Produce - Cold Fresh,PLANS,2113,32,329,110,198,198,171000,0,0,0,0,0,-9999,848916,900,6477,-754742790,1,1595,Hy-Vee Chariton,2533,SealedSweet,4,3/28/16 14:20,0,tag,tag,190,300,0,0,1321,0,5~-1~-60~556~5|6~300~557~1278~6|4~180~-110~-61~4|3~120~-221~-111~3|2~60~-666~-222~2|1~45~-4900~-667~1|8~120~1557~5100~8|7~240~1279~1556~7,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8582-1-3-0,3/24/16 12:08,3/28/16 14:08,1214,Standard Retail,CONFIGS,1214,0,419,0,20,20,0,0,0,0,-9999,-9999,-9999,479986-06205,900,89899,-759325289,1,1115,PDI- Ankeny,1249,PIER FISH CO.,4,3/28/16 14:16,0,tag,tag,392,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,89899,,,,,,,,,,NULL,479986,17,67,4228,PIER FISH CO.,,,495018,DESART TRUCKING INC.,DARYL DESART,100001,NON-HISTAM,...,SODEBL,...,NULL,...,12528,,,,,,,,PDI,,,,,,
8492-1-15-0,3/25/16 12:08,3/28/16 14:08,1220,Standard Retail,CONFIGS,1220,0,60,-60,-45,-45,0,0,0,0,-9999,-9999,-9999,479690-05557,900,88476,-759832788,1,1115,PDI- Ankeny,1255,TROPICAL AQUACULTURE,4,3/28/16 14:15,0,tag,tag,296,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,88476,,,,,,,,,,NULL,479690,16,66,1549,TROPICAL AQUACULTURE PRODUCTS,,,495018,DESART TRUCKING INC.,DARYL DESART,100001,NON-HISTAM,...,SODEBL,...,NULL,...,12528,,,,,,,,PDI,,,,,,
8826-1-8-0,3/25/16 13:22,3/28/16 14:07,1384,Standard Retail ,CONFIGS,1384,0,-20,-989,-78,-78,0,0,0,0,-9999,-9999,-9999,479809-06117,900,99227,-756823574,1,1115,PDI- Ankeny,1509,Point Judith Shellfish,4,3/28/16 14:15,0,tag,tag,291,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,99227,,,,,,,,,,NULL,479809,16,66,3345,STONEBRIDGE SHELLFISH CO.,,,495018,DESART TRUCKING INC.,DARYL DESART,4,SHELLSTOCK,...,SODEBL,...,NULL,...,12528,,,,,,,,PDI,,,,,,
8277-1-30-0,3/24/16 11:37,3/28/16 14:07,1185,Standard Retail,CONFIGS,1185,0,40,-69,-21,-21,0,0,0,0,-9999,-9999,-9999,479775-06230,900,75894,-764244635,1,1115,PDI- Ankeny,1206,"Northern Wind, Inc.",4,3/28/16 14:15,0,tag,tag,394,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,75894,,,,,,,,,,NULL,479775,16,66,2685,NORTHERN WIND,FRS,NORTHERN WIND - FRESH SCALLOPS,495018,DESART TRUCKING INC.,DARYL DESART,100001,NON-HISTAM,...,SODEBL,...,NULL,...,12528,,,,,,,,PDI,,,,,,
8801-1-15-0,3/24/16 12:37,3/28/16 14:07,1201,Standard Retail,CONFIGS,1201,0,160,-60,-26,-26,0,0,0,0,-9999,-9999,-9999,479750-06223,900,96371,-757164330,1,1115,PDI- Ankeny,1233,JP Shellfish,4,3/28/16 14:14,0,tag,tag,390,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,96371,,,,,,,,,,NULL,479750,17,67,5079,J.P.'S SHELLFISH,1,J.P.'S SHELLFISH,495018,DESART TRUCKING INC.,DARYL DESART,4,SHELLSTOCK,...,SODEBL,...,NULL,...,12528,,,,,,,,PDI,,,,,,
8822-1-19-0,3/25/16 12:51,3/28/16 14:06,1320,Standard Retail ,CONFIGS,1320,0,170,10,18,18,0,0,0,0,-9999,-9999,-9999,480171-06559,900,99446,-756824679,1,1115,PDI- Ankeny,1439,Harris Seafood Co,4,3/28/16 14:13,0,tag,tag,293,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,99446,,,,,,,,,,NULL,480171,16,66,2275,"HARRIS SEAFOOD CO., LLC",,,1648804,AMORY TRANSPORATION LLC,TOM BECK,5,SHELLFISH,...,SODEBL,...,NULL,...,1140,,,,,,,,VEN,,,,,,
8522-1-6-0,3/23/16 21:05,3/28/16 14:05,1192,Standard Retail,CONFIGS,1192,0,550,-340,34,34,0,0,0,0,-9999,-9999,-9999,,900,86131,-759578670,1,1115,PDI- Ankeny,1362,Cargill Meat Solutions - Milwaukee,4,3/28/16 14:13,0,tag,tag,452,300,0,0,1321,0,-,4900,-4800,4800,252000,252000,252000,252000,0,0,4900,-4800,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8899-1-11-0,3/27/16 04:35,3/28/16 13:50,1233,Standard Retail,CONFIGS,1233,0,240,-100,-59,-59,0,0,0,0,-9999,-9999,-9999,479687-27672,900,100577,-755869830,1,1115,PDI- Ankeny,1337,Tyson Fresh Meats - Dakota City,4,3/28/16 13:58,0,tag,tag,133,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,100577,,,,,,,,,,NULL,479687,8,58,2181,"TOPCO ASSOCIATES, INC.",CHU,TOPCO - GROUND BEEF-TYSON,306223,HILL BROTHERS,MICHAEL LAMPERT,100006,BEEFGROUND,...,REINMC,...,NULL,...,579303,,,,,,,,VEN,,,,,,
8204-1-62-0,3/26/16 14:33,3/28/16 13:48,1217,Standard Retail,CONFIGS,1217,0,550,50,228,228,0,0,0,0,-9999,-9999,-9999,479006-00914,900,82069,-765462365,1,1115,PDI- Ankeny,1252,"SAPUTO CHEESE USA,INC",4,3/28/16 13:56,0,tag,tag,189,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,82069,,,,,,,,,,NULL,479256,15,55,2181,"TOPCO ASSOCIATES, INC.",SAP,TOPCO - SAPUTO CHEESE,637719,KRAZE TRUCKING LLC,STEVEN SCHULTZ,100014,CULTRDAIRY,...,PHARCA,...,NULL,...,1104,,,,,,,,VEN,,,,,,
9043-1-73-0,3/26/16 16:03,3/28/16 13:48,1810,Standard Retail,CONFIGS,1810,0,1119,480,718,718,0,0,0,0,-9999,-9999,-9999,,900,64104,-754399483,1,1595,Hy-Vee Chariton,2067,SunWest Fruit Company,4,3/28/16 14:10,0,tag,sys,184,300,0,0,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,,,,,,,,,,,
8433-1-80-0,3/25/16 16:31,3/28/16 13:46,1564,Standard Retail,CONFIGS,1564,0,640,-30,141,141,0,0,0,0,-9999,-9999,-9999,479446-30355,900,74924,-761225125,1,1115,PDI- Ankeny,1673,Golden West Food Group,4,3/28/16 13:53,0,tag,tag,277,300,0,1,1321,0,-,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4800,74924,,,,,,,,,,NULL,479446,29,56,2181,"TOPCO ASSOCIATES, INC.",FIL,TOPCO - ASSOC-MARINATED MEATS,125569,T C B X INC,KIET HUYNH,100009,BRANDMEATS,...,FRICGL,...,NULL,...,M103,,,,,,,,VEN,,,,,,
8253-1-135-0,3/26/16 14:29,3/28/16 13:44,28,C-Produce - Bananas,PLANS,1831,28,2160,1410,1459,1459,170100,0,0,0,0,70,-9999,,900,83679,-764771770,1,1595,Hy-Vee Chariton,2101,Dole Fresh Fruit - MS,3,3/28/16 14:06,0,tag,sys,190,300,0,0,1321,0,8~-1~1334~1667~8|7~4320~1279~1333~7|6~1440~1223~1278~6|5~300~1168~1222~5|4~240~1057~1167~4|3~120~1001~1056~3|2~90~1~1000~2|1~60~-4900~0~1|10~900~1834~5100~10|9~1200~1668~1833~9,4900,-4800,4900,252000,252000,252000,252000,0,0,4900,-4900,,,,,,,,,,,NULL,,,,,,,,,,,,,NULL,,NULL,NULL,NULL,,,,,848300,,,,,,,,,,
